time,channel_1,channel_2,channel_3
0.000000,0.000049,-0.000048,-0.000024
0.020000,0.011286,-0.018307,-0.010929
0.040000,0.022607,-0.036032,-0.021742
0.060000,0.033761,-0.052800,-0.032268
0.080000,0.044481,-0.068203,-0.042327
0.100000,0.054496,-0.081867,-0.051763
0.120000,0.063537,-0.093457,-0.060446
0.140000,0.071352,-0.102685,-0.068276
0.160000,0.077711,-0.109322,-0.075185
0.180000,0.082417,-0.113200,-0.081140
0.200000,0.085317,-0.114220,-0.086140
0.220000,0.086307,-0.112352,-0.090217
0.240000,0.085338,-0.107638,-0.093433
0.260000,0.082423,-0.100189,-0.095873
0.280000,0.077636,-0.090185,-0.097646
0.300000,0.071112,-0.077868,-0.098874
0.320000,0.063050,-0.063535,-0.099691
0.340000,0.053701,-0.047535,-0.100230
0.360000,0.043368,-0.030253,-0.100623
0.380000,0.032394,-0.012107,-0.100990
0.400000,0.021155,0.006467,-0.101436
0.420000,0.010042,0.025026,-0.102042
0.440000,-0.000544,0.043128,-0.102866
0.460000,-0.010209,0.060347,-0.103933
0.480000,-0.018581,0.076282,-0.105238
0.500000,-0.025321,0.090566,-0.106744
0.520000,-0.030134,0.102876,-0.108380
0.540000,-0.032785,0.112940,-0.110045
0.560000,-0.033106,0.120544,-0.111611
0.580000,-0.031000,0.125535,-0.112927
0.600000,-0.026455,0.127826,-0.113827
0.620000,-0.019538,0.127396,-0.114132
0.640000,-0.010401,0.124286,-0.113661
0.660000,0.000726,0.118604,-0.112237
0.680000,0.013538,0.110514,-0.109697
0.700000,0.027661,0.100234,-0.105896
0.720000,0.042669,0.088027,-0.100719
0.740000,0.058090,0.074196,-0.094084
0.760000,0.073427,0.059072,-0.085950
0.780000,0.088165,0.043006,-0.076321
0.800000,0.101796,0.026361,-0.065251
0.820000,0.113831,0.009496,-0.052839
0.840000,0.123819,-0.007236,-0.039239
0.860000,0.131358,-0.023502,-0.024651
0.880000,0.136115,-0.038995,-0.009319
0.900000,0.137835,-0.053443,0.006472
0.920000,0.136349,-0.066614,0.022406
0.940000,0.131586,-0.078323,0.038140
0.960000,0.123573,-0.088433,0.053317
0.980000,0.112438,-0.096856,0.067574
1.000000,0.098409,-0.103558,0.080552
1.020000,0.081805,-0.108554,0.091910
1.040000,0.063030,-0.111906,0.101333
1.060000,0.042561,-0.113720,0.108543
1.080000,0.020936,-0.114141,0.113308
1.100000,-0.001264,-0.113346,0.115453
1.120000,-0.023434,-0.111536,0.114863
1.140000,-0.044959,-0.108933,0.111493
1.160000,-0.065236,-0.105766,0.105367
1.180000,-0.083691,-0.102266,0.096581
1.200000,-0.099800,-0.098661,0.085305
1.220000,-0.113102,-0.095163,0.071774
1.240000,-0.123215,-0.091966,0.056291
1.260000,-0.129850,-0.089235,0.039211
1.280000,-0.132816,-0.087108,0.020941
1.300000,-0.132033,-0.085684,0.001922
1.320000,-0.127529,-0.085028,-0.017376
1.340000,-0.119440,-0.085165,-0.036472
1.360000,-0.108012,-0.086080,-0.054887
1.380000,-0.093585,-0.087722,-0.072151
1.400000,-0.076591,-0.090005,-0.087825
1.420000,-0.057536,-0.092811,-0.101509
1.440000,-0.036984,-0.095997,-0.112852
1.460000,-0.015544,-0.099397,-0.121566
1.480000,0.006153,-0.102832,-0.127434
1.500000,0.027469,-0.106114,-0.130315
1.520000,0.047783,-0.109053,-0.130147
1.540000,0.066506,-0.111466,-0.126955
1.560000,0.083101,-0.113183,-0.120844
1.580000,0.097097,-0.114049,-0.111999
1.600000,0.108103,-0.113937,-0.100681
1.620000,0.115823,-0.112747,-0.087219
1.640000,0.120056,-0.110412,-0.071997
1.660000,0.120711,-0.106899,-0.055450
1.680000,0.117799,-0.102216,-0.038043
1.700000,0.111437,-0.096404,-0.020266
1.720000,0.101844,-0.089544,-0.002610
1.740000,0.089327,-0.081748,0.014436
1.760000,0.074276,-0.073163,0.030411
1.780000,0.057148,-0.063960,0.044887
1.800000,0.038453,-0.054336,0.057485
1.820000,0.018736,-0.044500,0.067885
1.840000,-0.001439,-0.034674,0.075838
1.860000,-0.021506,-0.025083,0.081169
1.880000,-0.040916,-0.015946,0.083786
1.900000,-0.059152,-0.007476,0.083678
1.920000,-0.075745,0.000134,0.080920
1.940000,-0.090284,0.006712,0.075667
1.960000,-0.102433,0.012116,0.068149
1.980000,-0.111932,0.016234,0.058665
2.000000,-0.118607,0.018990,0.047573
2.020000,-0.122373,0.020350,0.035280
2.040000,-0.123228,0.020315,0.022226
2.060000,-0.121258,0.018929,0.008876
2.080000,-0.116623,0.016273,-0.004301
2.100000,-0.109554,0.012467,-0.016841
2.120000,-0.100340,0.007662,-0.028303
2.140000,-0.089317,0.002039,-0.038279
2.160000,-0.076855,-0.004197,-0.046411
2.180000,-0.063341,-0.010822,-0.052397
2.200000,-0.049172,-0.017602,-0.056003
2.220000,-0.034733,-0.024296,-0.057072
2.240000,-0.020389,-0.030664,-0.055525
2.260000,-0.006473,-0.036476,-0.051364
2.280000,0.006727,-0.041514,-0.044675
2.300000,0.018970,-0.045582,-0.035622
2.320000,0.030075,-0.048510,-0.024445
2.340000,0.039919,-0.050158,-0.011449
2.360000,0.048442,-0.050418,0.003001
2.380000,0.055640,-0.049222,0.018495
2.400000,0.061569,-0.046536,0.034586
2.420000,0.066331,-0.042369,0.050806
2.440000,0.070073,-0.036764,0.066681
2.460000,0.072973,-0.029803,0.081741
2.480000,0.075235,-0.021602,0.095539
2.500000,0.077071,-0.012306,0.107660
2.520000,0.078697,-0.002086,0.117733
2.540000,0.080317,0.008865,0.125445
2.560000,0.082116,0.020340,0.130549
2.580000,0.084248,0.032119,0.132867
2.600000,0.086831,0.043981,0.132300
2.620000,0.089939,0.055705,0.128829
2.640000,0.093599,0.067077,0.122512
2.660000,0.097787,0.077897,0.113487
2.680000,0.102433,0.087980,0.101962
2.700000,0.107416,0.097162,0.088215
2.720000,0.112574,0.105305,0.072579
2.740000,0.117709,0.112295,0.055439
2.760000,0.122595,0.118049,0.037214
2.780000,0.126983,0.122511,0.018350
2.800000,0.130620,0.125653,-0.000695
2.820000,0.133251,0.127476,-0.019463
2.840000,0.134635,0.128005,-0.037506
2.860000,0.134553,0.127290,-0.054404
2.880000,0.132821,0.125397,-0.069770
2.900000,0.129296,0.122413,-0.083263
2.920000,0.123886,0.118435,-0.094593
2.940000,0.116551,0.113569,-0.103532
2.960000,0.107314,0.107926,-0.109915
2.980000,0.096259,0.101616,-0.113645
3.000000,0.083528,0.094747,-0.114689
3.020000,0.069324,0.087424,-0.113084
3.040000,0.053903,0.079738,-0.108927
3.060000,0.037567,0.071773,-0.102375
3.080000,0.020656,0.063600,-0.093635
3.100000,0.003542,0.055276,-0.082959
3.120000,-0.013389,0.046847,-0.070634
3.140000,-0.029743,0.038346,-0.056971
3.160000,-0.045130,0.029795,-0.042301
3.180000,-0.059181,0.021207,-0.026957
3.200000,-0.071553,0.012587,-0.011273
3.220000,-0.081943,0.003940,0.004432
3.240000,-0.090097,-0.004735,0.019858
3.260000,-0.095817,-0.013433,0.034733
3.280000,-0.098967,-0.022147,0.048816
3.300000,-0.099477,-0.030859,0.061906
3.320000,-0.097344,-0.039544,0.073842
3.340000,-0.092632,-0.048163,0.084505
3.360000,-0.085470,-0.056662,0.093818
3.380000,-0.076047,-0.064974,0.101745
3.400000,-0.064605,-0.073016,0.108287
3.420000,-0.051433,-0.080690,0.113483
3.440000,-0.036854,-0.087885,0.117398
3.460000,-0.021220,-0.094481,0.120122
3.480000,-0.004894,-0.100347,0.121763
3.500000,0.011753,-0.105347,0.122441
3.520000,0.028359,-0.109345,0.122283
3.540000,0.044579,-0.112209,0.121412
3.560000,0.060095,-0.113812,0.119947
3.580000,0.074624,-0.114042,0.117998
3.600000,0.087926,-0.112804,0.115655
3.620000,0.099807,-0.110023,0.112995
3.640000,0.110124,-0.105652,0.110070
3.660000,0.118790,-0.099673,0.106915
3.680000,0.125765,-0.092099,0.103542
3.700000,0.131065,-0.082978,0.099943
3.720000,0.134749,-0.072395,0.096093
3.740000,0.136919,-0.060469,0.091953
3.760000,0.137714,-0.047354,0.087472
3.780000,0.137298,-0.033237,0.082595
3.800000,0.135859,-0.018335,0.077263
3.820000,0.133593,-0.002892,0.071423
3.840000,0.130703,0.012830,0.065026
3.860000,0.127385,0.028553,0.058040
