time,channel_1,channel_2,channel_3
0.000000,0.000000,0.000000,0.000000
0.020000,0.001537,0.001537,0.001537
0.040000,0.003077,0.003077,0.003077
0.060000,0.004618,0.004618,0.004618
0.080000,0.006160,0.006160,0.006160
0.100000,0.007704,0.007704,0.007704
0.120000,0.009248,0.009248,0.009248
0.140000,0.010794,0.010794,0.010794
0.160000,0.012339,0.012339,0.012339
0.180000,0.013886,0.013886,0.013886
0.200000,0.015432,0.015432,0.015432
0.220000,0.016977,0.016977,0.016977
0.240000,0.018523,0.018523,0.018523
0.260000,0.020067,0.020067,0.020067
0.280000,0.021611,0.021611,0.021611
0.300000,0.023153,0.023153,0.023153
0.320000,0.024693,0.024693,0.024693
0.340000,0.026232,0.026232,0.026232
0.360000,0.027769,0.027769,0.027769
0.380000,0.029304,0.029304,0.029304
0.400000,0.030835,0.030835,0.030835
0.420000,0.032364,0.032364,0.032364
0.440000,0.033890,0.033890,0.033890
0.460000,0.035413,0.035413,0.035413
0.480000,0.036932,0.036932,0.036932
0.500000,0.038447,0.038447,0.038447
0.520000,0.039957,0.039957,0.039957
0.540000,0.041464,0.041464,0.041464
0.560000,0.042965,0.042965,0.042965
0.580000,0.044461,0.044461,0.044461
0.600000,0.045953,0.045953,0.045953
0.620000,0.047438,0.047438,0.047438
0.640000,0.048918,0.048918,0.048918
0.660000,0.050391,0.050391,0.050391
0.680000,0.051858,0.051858,0.051858
0.700000,0.053318,0.053318,0.053318
0.720000,0.054771,0.054771,0.054771
0.740000,0.056217,0.056217,0.056217
0.760000,0.057655,0.057655,0.057655
0.780000,0.059086,0.059086,0.059086
0.800000,0.060508,0.060508,0.060508
0.820000,0.061922,0.061922,0.061922
0.840000,0.063326,0.063326,0.063326
0.860000,0.064722,0.064722,0.064722
0.880000,0.066109,0.066109,0.066109
0.900000,0.067485,0.067485,0.067485
0.920000,0.068852,0.068852,0.068852
0.940000,0.070209,0.070209,0.070209
0.960000,0.071555,0.071555,0.071555
0.980000,0.072890,0.072890,0.072890
1.000000,0.074214,0.074214,0.074214
1.020000,0.075526,0.075526,0.075526
1.040000,0.076827,0.076827,0.076827
1.060000,0.078116,0.078116,0.078116
1.080000,0.079392,0.079392,0.079392
1.100000,0.080655,0.080655,0.080655
1.120000,0.081906,0.081906,0.081906
1.140000,0.083143,0.083143,0.083143
1.160000,0.084367,0.084367,0.084367
1.180000,0.085577,0.085577,0.085577
1.200000,0.086773,0.086773,0.086773
1.220000,0.087954,0.087954,0.087954
1.240000,0.089120,0.089120,0.089120
1.260000,0.090272,0.090272,0.090272
1.280000,0.091408,0.091408,0.091408
1.300000,0.092528,0.092528,0.092528
1.320000,0.093632,0.093632,0.093632
1.340000,0.094720,0.094720,0.094720
1.360000,0.095791,0.095791,0.095791
1.380000,0.096846,0.096846,0.096846
1.400000,0.097883,0.097883,0.097883
1.420000,0.098903,0.098903,0.098903
1.440000,0.099905,0.099905,0.099905
1.460000,0.100889,0.100889,0.100889
1.480000,0.101854,0.101854,0.101854
1.500000,0.102801,0.102801,0.102801
1.520000,0.103729,0.103729,0.103729
1.540000,0.104637,0.104637,0.104637
1.560000,0.105526,0.105526,0.105526
1.580000,0.106395,0.106395,0.106395
1.600000,0.107244,0.107244,0.107244
1.620000,0.108072,0.108072,0.108072
1.640000,0.108880,0.108880,0.108880
1.660000,0.109667,0.109667,0.109667
1.680000,0.110432,0.110432,0.110432
1.700000,0.111176,0.111176,0.111176
1.720000,0.111898,0.111898,0.111898
1.740000,0.112597,0.112597,0.112597
1.760000,0.113275,0.113275,0.113275
1.780000,0.113929,0.113929,0.113929
1.800000,0.114561,0.114561,0.114561
1.820000,0.115169,0.115169,0.115169
1.840000,0.115754,0.115754,0.115754
1.860000,0.116316,0.116316,0.116316
1.880000,0.116853,0.116853,0.116853
1.900000,0.117366,0.117366,0.117366
1.920000,0.117854,0.117854,0.117854
1.940000,0.118317,0.118317,0.118317
1.960000,0.118756,0.118756,0.118756
1.980000,0.119169,0.119169,0.119169
2.000000,0.119556,0.119556,0.119556
2.020000,0.119918,0.119918,0.119918
2.040000,0.120254,0.120254,0.120254
2.060000,0.120564,0.120564,0.120564
2.080000,0.120847,0.120847,0.120847
2.100000,0.121103,0.121103,0.121103
2.120000,0.121332,0.121332,0.121332
2.140000,0.121535,0.121535,0.121535
2.160000,0.121709,0.121709,0.121709
2.180000,0.121857,0.121857,0.121857
2.200000,0.121976,0.121976,0.121976
2.220000,0.122068,0.122068,0.122068
2.240000,0.122131,0.122131,0.122131
2.260000,0.122166,0.122166,0.122166
2.280000,0.122172,0.122172,0.122172
2.300000,0.122150,0.122150,0.122150
2.320000,0.122099,0.122099,0.122099
2.340000,0.122018,0.122018,0.122018
2.360000,0.121909,0.121909,0.121909
2.380000,0.121770,0.121770,0.121770
2.400000,0.121601,0.121601,0.121601
2.420000,0.121402,0.121402,0.121402
2.440000,0.121174,0.121174,0.121174
2.460000,0.120916,0.120916,0.120916
2.480000,0.120627,0.120627,0.120627
2.500000,0.120309,0.120309,0.120309
2.520000,0.119960,0.119960,0.119960
2.540000,0.119580,0.119580,0.119580
2.560000,0.119170,0.119170,0.119170
2.580000,0.118729,0.118729,0.118729
2.600000,0.118257,0.118257,0.118257
2.620000,0.117755,0.117755,0.117755
2.640000,0.117221,0.117221,0.117221
2.660000,0.116657,0.116657,0.116657
2.680000,0.116061,0.116061,0.116061
2.700000,0.115434,0.115434,0.115434
2.720000,0.114776,0.114776,0.114776
2.740000,0.114087,0.114087,0.114087
2.760000,0.113366,0.113366,0.113366
2.780000,0.112615,0.112615,0.112615
2.800000,0.111832,0.111832,0.111832
2.820000,0.111017,0.111017,0.111017
2.840000,0.110171,0.110171,0.110171
2.860000,0.109294,0.109294,0.109294
2.880000,0.108386,0.108386,0.108386
2.900000,0.107447,0.107447,0.107447
2.920000,0.106476,0.106476,0.106476
2.940000,0.105474,0.105474,0.105474
2.960000,0.104441,0.104441,0.104441
2.980000,0.103377,0.103377,0.103377
3.000000,0.102282,0.102282,0.102282
3.020000,0.101157,0.101157,0.101157
3.040000,0.100000,0.100000,0.100000
3.060000,0.098813,0.098813,0.098813
3.080000,0.097595,0.097595,0.097595
3.100000,0.096347,0.096347,0.096347
3.120000,0.095068,0.095068,0.095068
3.140000,0.093760,0.093760,0.093760
3.160000,0.092421,0.092421,0.092421
3.180000,0.091053,0.091053,0.091053
3.200000,0.089655,0.089655,0.089655
3.220000,0.088228,0.088228,0.088228
3.240000,0.086772,0.086772,0.086772
3.260000,0.085286,0.085286,0.085286
3.280000,0.083772,0.083772,0.083772
3.300000,0.082230,0.082230,0.082230
3.320000,0.080659,0.080659,0.080659
3.340000,0.079060,0.079060,0.079060
3.360000,0.077433,0.077433,0.077433
3.380000,0.075779,0.075779,0.075779
3.400000,0.074098,0.074098,0.074098
3.420000,0.072390,0.072390,0.072390
3.440000,0.070656,0.070656,0.070656
3.460000,0.068896,0.068896,0.068896
3.480000,0.067110,0.067110,0.067110
3.500000,0.065298,0.065298,0.065298
3.520000,0.063462,0.063462,0.063462
3.540000,0.061601,0.061601,0.061601
3.560000,0.059715,0.059715,0.059715
3.580000,0.057806,0.057806,0.057806
3.600000,0.055874,0.055874,0.055874
3.620000,0.053919,0.053919,0.053919
3.640000,0.051941,0.051941,0.051941
3.660000,0.049941,0.049941,0.049941
3.680000,0.047920,0.047920,0.047920
3.700000,0.045878,0.045878,0.045878
3.720000,0.043816,0.043816,0.043816
3.740000,0.041734,0.041734,0.041734
3.760000,0.039632,0.039632,0.039632
3.780000,0.037512,0.037512,0.037512
3.800000,0.035373,0.035373,0.035373
3.820000,0.033217,0.033217,0.033217
3.840000,0.031044,0.031044,0.031044
3.860000,0.028854,0.028854,0.028854
3.880000,0.026649,0.026649,0.026649
3.900000,0.024429,0.024429,0.024429
3.920000,0.022194,0.022194,0.022194
3.940000,0.019946,0.019946,0.019946
3.960000,0.017684,0.017684,0.017684
3.980000,0.015410,0.015410,0.015410
