time,channel_1,channel_2,channel_3
0.000000,-0.000006,-0.061040,-0.000033
0.020000,-0.020060,-0.045597,-0.007672
0.040000,-0.039791,-0.031407,-0.015297
0.060000,-0.058777,-0.018907,-0.022639
0.080000,-0.076613,-0.008474,-0.029439
0.100000,-0.092917,-0.000416,-0.035447
0.120000,-0.107339,0.005042,-0.040431
0.140000,-0.119573,0.007758,-0.044186
0.160000,-0.129367,0.007681,-0.046537
0.180000,-0.136524,0.004845,-0.047344
0.200000,-0.140913,-0.000626,-0.046507
0.220000,-0.142470,-0.008529,-0.043969
0.240000,-0.141199,-0.018588,-0.039717
0.260000,-0.137177,-0.030465,-0.033785
0.280000,-0.130546,-0.043773,-0.026251
0.300000,-0.121513,-0.058087,-0.017239
0.320000,-0.110343,-0.072961,-0.006913
0.340000,-0.097352,-0.087943,0.004525
0.360000,-0.082899,-0.102590,0.016838
0.380000,-0.067379,-0.116482,0.029762
0.400000,-0.051204,-0.129234,0.043013
0.420000,-0.034802,-0.140513,0.056289
0.440000,-0.018599,-0.150043,0.069284
0.460000,-0.003008,-0.157615,0.081689
0.480000,0.011580,-0.163095,0.093204
0.500000,0.024809,-0.166422,0.103545
0.520000,0.036366,-0.167613,0.112450
0.540000,0.045988,-0.166757,0.119685
0.560000,0.053473,-0.164014,0.125053
0.580000,0.058682,-0.159605,0.128396
0.600000,0.061545,-0.153803,0.129601
0.620000,0.062058,-0.146925,0.128604
0.640000,0.060288,-0.139314,0.125390
0.660000,0.056367,-0.131333,0.119995
0.680000,0.050489,-0.123348,0.112505
0.700000,0.042903,-0.115714,0.103055
0.720000,0.033908,-0.108763,0.091828
0.740000,0.023842,-0.102794,0.079047
0.760000,0.013070,-0.098059,0.064972
0.780000,0.001979,-0.094757,0.049897
0.800000,-0.009039,-0.093029,0.034138
0.820000,-0.019596,-0.092948,0.018030
0.840000,-0.029317,-0.094523,0.001918
0.860000,-0.037856,-0.097693,-0.013854
0.880000,-0.044902,-0.102337,-0.028943
0.900000,-0.050188,-0.108272,-0.043024
0.920000,-0.053501,-0.115265,-0.055793
0.940000,-0.054686,-0.123038,-0.066973
0.960000,-0.053649,-0.131281,-0.076324
0.980000,-0.050364,-0.139660,-0.083643
1.000000,-0.044867,-0.147832,-0.088777
1.020000,-0.037262,-0.155455,-0.091616
1.040000,-0.027712,-0.162200,-0.092106
1.060000,-0.016435,-0.167765,-0.090240
1.080000,-0.003699,-0.171878,-0.086066
1.100000,0.010184,-0.174314,-0.079682
1.120000,0.024873,-0.174898,-0.071234
1.140000,0.040004,-0.173512,-0.060912
1.160000,0.055200,-0.170094,-0.048945
