time,channel_1,channel_2,channel_3
0.000000,0.000000,-0.061040,0.000000
0.020000,0.000000,-0.045597,0.000000
0.040000,0.000000,-0.031407,0.000000
0.060000,0.000000,-0.018907,0.000000
0.080000,0.000000,-0.008474,0.000000
0.100000,0.000000,-0.000416,0.000000
0.120000,0.000000,0.005042,0.000000
0.140000,0.000000,0.007758,0.000000
0.160000,0.000000,0.007681,0.000000
0.180000,0.000000,0.004845,0.000000
0.200000,0.000000,-0.000626,0.000000
0.220000,0.000000,-0.008529,0.000000
0.240000,0.000000,-0.018588,0.000000
0.260000,0.000000,-0.030465,0.000000
0.280000,0.000000,-0.043773,0.000000
0.300000,0.000000,-0.058087,0.000000
0.320000,0.000000,-0.072961,0.000000
0.340000,0.000000,-0.087943,0.000000
0.360000,0.000000,-0.102590,0.000000
0.380000,0.000000,-0.116482,0.000000
0.400000,0.000000,-0.129234,0.000000
0.420000,0.000000,-0.140513,0.000000
0.440000,0.000000,-0.150043,0.000000
0.460000,0.000000,-0.157615,0.000000
0.480000,0.000000,-0.163095,0.000000
0.500000,0.000000,-0.166422,0.000000
0.520000,0.000000,-0.167613,0.000000
0.540000,0.000000,-0.166757,0.000000
0.560000,0.000000,-0.164014,0.000000
0.580000,0.000000,-0.159605,0.000000
0.600000,0.000000,-0.153803,0.000000
0.620000,0.000000,-0.146925,0.000000
0.640000,0.000000,-0.139314,0.000000
0.660000,0.000000,-0.131333,0.000000
0.680000,0.000000,-0.123348,0.000000
0.700000,0.000000,-0.115714,0.000000
0.720000,0.000000,-0.108763,0.000000
0.740000,0.000000,-0.102794,0.000000
0.760000,0.000000,-0.098059,0.000000
0.780000,0.000000,-0.094757,0.000000
0.800000,0.000000,-0.093029,0.000000
0.820000,0.000000,-0.092948,0.000000
0.840000,0.000000,-0.094523,0.000000
0.860000,0.000000,-0.097693,0.000000
0.880000,0.000000,-0.102337,0.000000
0.900000,0.000000,-0.108272,0.000000
0.920000,0.000000,-0.115265,0.000000
0.940000,0.000000,-0.123038,0.000000
0.960000,0.000000,-0.131281,0.000000
0.980000,0.000000,-0.139660,0.000000
1.000000,0.000000,-0.147832,0.000000
1.020000,0.000000,-0.155455,0.000000
1.040000,0.000000,-0.162200,0.000000
1.060000,0.000000,-0.167765,0.000000
1.080000,0.000000,-0.171878,0.000000
1.100000,0.000000,-0.174314,0.000000
1.120000,0.000000,-0.174898,0.000000
1.140000,0.000000,-0.173512,0.000000
1.160000,0.000000,-0.170094,0.000000
1.180000,0.000000,-0.164645,0.000000
1.200000,0.000000,-0.157226,0.000000
1.220000,0.000000,-0.147953,0.000000
1.240000,0.000000,-0.136994,0.000000
1.260000,0.000000,-0.124562,0.000000
1.280000,0.000000,-0.110908,0.000000
1.300000,0.000000,-0.096308,0.000000
1.320000,0.000000,-0.081060,0.000000
1.340000,0.000000,-0.065468,0.000000
1.360000,0.000000,-0.049832,0.000000
1.380000,0.000000,-0.034442,0.000000
1.400000,0.000000,-0.019566,0.000000
1.420000,0.000000,-0.005444,0.000000
1.440000,0.000000,0.007721,0.000000
1.460000,0.000000,0.019767,0.000000
1.480000,0.000000,0.030576,0.000000
1.500000,0.000000,0.040075,0.000000
1.520000,0.000000,0.048237,0.000000
1.540000,0.000000,0.055076,0.000000
1.560000,0.000000,0.060649,0.000000
1.580000,0.000000,0.065044,0.000000
1.600000,0.000000,0.068376,0.000000
1.620000,0.000000,0.070783,0.000000
1.640000,0.000000,0.072412,0.000000
1.660000,0.000000,0.073414,0.000000
1.680000,0.000000,0.073936,0.000000
1.700000,0.000000,0.074110,0.000000
1.720000,0.000000,0.074052,0.000000
1.740000,0.000000,0.073848,0.000000
1.760000,0.000000,0.073556,0.000000
1.780000,0.000000,0.073200,0.000000
1.800000,0.000000,0.072768,0.000000
1.820000,0.000000,0.072214,0.000000
1.840000,0.000000,0.071460,0.000000
1.860000,0.000000,0.070398,0.000000
1.880000,0.000000,0.068897,0.000000
1.900000,0.000000,0.066808,0.000000
1.920000,0.000000,0.063974,0.000000
1.940000,0.000000,0.060238,0.000000
1.960000,0.000000,0.055450,0.000000
1.980000,0.000000,0.049478,0.000000
2.000000,0.000000,0.042217,0.000000
2.020000,0.000000,0.033595,0.000000
2.040000,0.000000,0.023582,0.000000
2.060000,0.000000,0.012195,0.000000
2.080000,0.000000,-0.000499,0.000000
2.100000,0.000000,-0.014379,0.000000
2.120000,0.000000,-0.029272,0.000000
2.140000,0.000000,-0.044953,0.000000
2.160000,0.000000,-0.061149,0.000000
2.180000,0.000000,-0.077548,0.000000
2.200000,0.000000,-0.093804,0.000000
2.220000,0.000000,-0.109548,0.000000
2.240000,0.000000,-0.124397,0.000000
2.260000,0.000000,-0.137968,0.000000
2.280000,0.000000,-0.149891,0.000000
2.300000,0.000000,-0.159818,0.000000
2.320000,0.000000,-0.167441,0.000000
2.340000,0.000000,-0.172498,0.000000
2.360000,0.000000,-0.174785,0.000000
2.380000,0.000000,-0.174169,0.000000
2.400000,0.000000,-0.170589,0.000000
2.420000,0.000000,-0.164065,0.000000
2.440000,0.000000,-0.154699,0.000000
2.460000,0.000000,-0.142674,0.000000
2.480000,0.000000,-0.128251,0.000000
2.500000,0.000000,-0.111767,0.000000
2.520000,0.000000,-0.093623,0.000000
2.540000,0.000000,-0.074276,0.000000
2.560000,0.000000,-0.054225,0.000000
2.580000,0.000000,-0.033998,0.000000
2.600000,0.000000,-0.014139,0.000000
2.620000,0.000000,0.004810,0.000000
2.640000,0.000000,0.022326,0.000000
2.660000,0.000000,0.037919,0.000000
2.680000,0.000000,0.051147,0.000000
2.700000,0.000000,0.061631,0.000000
2.720000,0.000000,0.069065,0.000000
2.740000,0.000000,0.073229,0.000000
2.760000,0.000000,0.073992,0.000000
2.780000,0.000000,0.071323,0.000000
2.800000,0.000000,0.065286,0.000000
2.820000,0.000000,0.056041,0.000000
2.840000,0.000000,0.043843,0.000000
2.860000,0.000000,0.029030,0.000000
2.880000,0.000000,0.012016,0.000000
2.900000,0.000000,-0.006721,0.000000
2.920000,0.000000,-0.026656,0.000000
2.940000,0.000000,-0.047228,0.000000
2.960000,0.000000,-0.067863,0.000000
2.980000,0.000000,-0.087986,0.000000
3.000000,0.000000,-0.107042,0.000000
3.020000,0.000000,-0.124509,0.000000
3.040000,0.000000,-0.139917,0.000000
3.060000,0.000000,-0.152863,0.000000
3.080000,0.000000,-0.163017,0.000000
3.100000,0.000000,-0.170140,0.000000
3.120000,0.000000,-0.174083,0.000000
3.140000,0.000000,-0.174796,0.000000
3.160000,0.000000,-0.172327,0.000000
3.180000,0.000000,-0.166819,0.000000
3.200000,0.000000,-0.158508,0.000000
3.220000,0.000000,-0.147710,0.000000
3.240000,0.000000,-0.134814,0.000000
3.260000,0.000000,-0.120269,0.000000
3.280000,0.000000,-0.104568,0.000000
3.300000,0.000000,-0.088231,0.000000
3.320000,0.000000,-0.071793,0.000000
3.340000,0.000000,-0.055782,0.000000
3.360000,0.000000,-0.040705,0.000000
3.380000,0.000000,-0.027032,0.000000
3.400000,0.000000,-0.015183,0.000000
3.420000,0.000000,-0.005512,0.000000
3.440000,0.000000,0.001701,0.000000
3.460000,0.000000,0.006257,0.000000
3.480000,0.000000,0.008043,0.000000
3.500000,0.000000,0.007037,0.000000
3.520000,0.000000,0.003306,0.000000
3.540000,0.000000,-0.003002,0.000000
3.560000,0.000000,-0.011658,0.000000
3.580000,0.000000,-0.022363,0.000000
3.600000,0.000000,-0.034762,0.000000
3.620000,0.000000,-0.048454,0.000000
3.640000,0.000000,-0.063005,0.000000
