time,channel_1,channel_2,channel_3
0.000000,0.000000,-0.061087,0.000000
0.020000,0.000000,-0.059948,0.000000
0.040000,0.000000,-0.058805,0.000000
0.060000,0.000000,-0.057660,0.000000
0.080000,0.000000,-0.056512,0.000000
0.100000,0.000000,-0.055361,0.000000
0.120000,0.000000,-0.054207,0.000000
0.140000,0.000000,-0.053050,0.000000
0.160000,0.000000,-0.051891,0.000000
0.180000,0.000000,-0.050729,0.000000
0.200000,0.000000,-0.049564,0.000000
0.220000,0.000000,-0.048398,0.000000
0.240000,0.000000,-0.047228,0.000000
0.260000,0.000000,-0.046057,0.000000
0.280000,0.000000,-0.044883,0.000000
0.300000,0.000000,-0.043707,0.000000
0.320000,0.000000,-0.042530,0.000000
0.340000,0.000000,-0.041350,0.000000
0.360000,0.000000,-0.040169,0.000000
0.380000,0.000000,-0.038986,0.000000
0.400000,0.000000,-0.037802,0.000000
0.420000,0.000000,-0.036616,0.000000
0.440000,0.000000,-0.035428,0.000000
0.460000,0.000000,-0.034240,0.000000
0.480000,0.000000,-0.033050,0.000000
0.500000,0.000000,-0.031860,0.000000
0.520000,0.000000,-0.030668,0.000000
0.540000,0.000000,-0.029476,0.000000
0.560000,0.000000,-0.028283,0.000000
0.580000,0.000000,-0.027090,0.000000
0.600000,0.000000,-0.025896,0.000000
0.620000,0.000000,-0.024702,0.000000
0.640000,0.000000,-0.023508,0.000000
0.660000,0.000000,-0.022313,0.000000
0.680000,0.000000,-0.021119,0.000000
0.700000,0.000000,-0.019925,0.000000
0.720000,0.000000,-0.018732,0.000000
0.740000,0.000000,-0.017539,0.000000
0.760000,0.000000,-0.016347,0.000000
0.780000,0.000000,-0.015156,0.000000
0.800000,0.000000,-0.013966,0.000000
0.820000,0.000000,-0.012776,0.000000
0.840000,0.000000,-0.011589,0.000000
0.860000,0.000000,-0.010402,0.000000
0.880000,0.000000,-0.009217,0.000000
0.900000,0.000000,-0.008034,0.000000
0.920000,0.000000,-0.006853,0.000000
0.940000,0.000000,-0.005674,0.000000
0.960000,0.000000,-0.004498,0.000000
0.980000,0.000000,-0.003324,0.000000
1.000000,0.000000,-0.002152,0.000000
1.020000,0.000000,-0.000983,0.000000
1.040000,0.000000,0.000182,0.000000
1.060000,0.000000,0.001345,0.000000
1.080000,0.000000,0.002504,0.000000
1.100000,0.000000,0.003659,0.000000
1.120000,0.000000,0.004811,0.000000
1.140000,0.000000,0.005959,0.000000
1.160000,0.000000,0.007102,0.000000
1.180000,0.000000,0.008241,0.000000
1.200000,0.000000,0.009376,0.000000
1.220000,0.000000,0.010506,0.000000
1.240000,0.000000,0.011631,0.000000
1.260000,0.000000,0.012750,0.000000
1.280000,0.000000,0.013864,0.000000
1.300000,0.000000,0.014973,0.000000
1.320000,0.000000,0.016075,0.000000
1.340000,0.000000,0.017171,0.000000
1.360000,0.000000,0.018261,0.000000
1.380000,0.000000,0.019344,0.000000
1.400000,0.000000,0.020421,0.000000
1.420000,0.000000,0.021490,0.000000
1.440000,0.000000,0.022552,0.000000
1.460000,0.000000,0.023606,0.000000
1.480000,0.000000,0.024653,0.000000
1.500000,0.000000,0.025691,0.000000
1.520000,0.000000,0.026721,0.000000
1.540000,0.000000,0.027742,0.000000
1.560000,0.000000,0.028755,0.000000
1.580000,0.000000,0.029758,0.000000
1.600000,0.000000,0.030751,0.000000
1.620000,0.000000,0.031735,0.000000
1.640000,0.000000,0.032708,0.000000
1.660000,0.000000,0.033672,0.000000
1.680000,0.000000,0.034624,0.000000
1.700000,0.000000,0.035566,0.000000
1.720000,0.000000,0.036496,0.000000
1.740000,0.000000,0.037415,0.000000
1.760000,0.000000,0.038322,0.000000
1.780000,0.000000,0.039217,0.000000
1.800000,0.000000,0.040099,0.000000
1.820000,0.000000,0.040969,0.000000
1.840000,0.000000,0.041825,0.000000
1.860000,0.000000,0.042667,0.000000
1.880000,0.000000,0.043496,0.000000
1.900000,0.000000,0.044311,0.000000
1.920000,0.000000,0.045111,0.000000
1.940000,0.000000,0.045897,0.000000
1.960000,0.000000,0.046667,0.000000
1.980000,0.000000,0.047421,0.000000
2.000000,0.000000,0.048160,0.000000
2.020000,0.000000,0.048882,0.000000
2.040000,0.000000,0.049588,0.000000
2.060000,0.000000,0.050277,0.000000
2.080000,0.000000,0.050948,0.000000
2.100000,0.000000,0.051602,0.000000
2.120000,0.000000,0.052237,0.000000
2.140000,0.000000,0.052854,0.000000
2.160000,0.000000,0.053452,0.000000
2.180000,0.000000,0.054031,0.000000
2.200000,0.000000,0.054590,0.000000
2.220000,0.000000,0.055129,0.000000
2.240000,0.000000,0.055648,0.000000
2.260000,0.000000,0.056146,0.000000
2.280000,0.000000,0.056622,0.000000
2.300000,0.000000,0.057077,0.000000
2.320000,0.000000,0.057510,0.000000
2.340000,0.000000,0.057920,0.000000
2.360000,0.000000,0.058307,0.000000
2.380000,0.000000,0.058671,0.000000
2.400000,0.000000,0.059011,0.000000
2.420000,0.000000,0.059327,0.000000
2.440000,0.000000,0.059619,0.000000
2.460000,0.000000,0.059885,0.000000
2.480000,0.000000,0.060126,0.000000
2.500000,0.000000,0.060341,0.000000
2.520000,0.000000,0.060530,0.000000
2.540000,0.000000,0.060692,0.000000
2.560000,0.000000,0.060827,0.000000
2.580000,0.000000,0.060934,0.000000
2.600000,0.000000,0.061014,0.000000
2.620000,0.000000,0.061065,0.000000
2.640000,0.000000,0.061087,0.000000
2.660000,0.000000,0.061079,0.000000
2.680000,0.000000,0.061042,0.000000
2.700000,0.000000,0.060975,0.000000
2.720000,0.000000,0.060877,0.000000
2.740000,0.000000,0.060748,0.000000
2.760000,0.000000,0.060587,0.000000
2.780000,0.000000,0.060395,0.000000
2.800000,0.000000,0.060170,0.000000
2.820000,0.000000,0.059913,0.000000
2.840000,0.000000,0.059622,0.000000
2.860000,0.000000,0.059298,0.000000
2.880000,0.000000,0.058940,0.000000
2.900000,0.000000,0.058547,0.000000
2.920000,0.000000,0.058120,0.000000
2.940000,0.000000,0.057657,0.000000
2.960000,0.000000,0.057159,0.000000
2.980000,0.000000,0.056625,0.000000
3.000000,0.000000,0.056054,0.000000
3.020000,0.000000,0.055446,0.000000
3.040000,0.000000,0.054802,0.000000
3.060000,0.000000,0.054119,0.000000
3.080000,0.000000,0.053399,0.000000
3.100000,0.000000,0.052641,0.000000
3.120000,0.000000,0.051844,0.000000
3.140000,0.000000,0.051008,0.000000
3.160000,0.000000,0.050133,0.000000
3.180000,0.000000,0.049218,0.000000
3.200000,0.000000,0.048264,0.000000
3.220000,0.000000,0.047269,0.000000
3.240000,0.000000,0.046234,0.000000
3.260000,0.000000,0.045158,0.000000
3.280000,0.000000,0.044041,0.000000
3.300000,0.000000,0.042883,0.000000
3.320000,0.000000,0.041683,0.000000
3.340000,0.000000,0.040442,0.000000
3.360000,0.000000,0.039159,0.000000
3.380000,0.000000,0.037834,0.000000
3.400000,0.000000,0.036467,0.000000
3.420000,0.000000,0.035058,0.000000
3.440000,0.000000,0.033606,0.000000
3.460000,0.000000,0.032111,0.000000
3.480000,0.000000,0.030574,0.000000
3.500000,0.000000,0.028994,0.000000
3.520000,0.000000,0.027372,0.000000
3.540000,0.000000,0.025706,0.000000
3.560000,0.000000,0.023998,0.000000
3.580000,0.000000,0.022247,0.000000
3.600000,0.000000,0.020454,0.000000
3.620000,0.000000,0.018618,0.000000
3.640000,0.000000,0.016739,0.000000
3.660000,0.000000,0.014818,0.000000
3.680000,0.000000,0.012855,0.000000
3.700000,0.000000,0.010850,0.000000
3.720000,0.000000,0.008803,0.000000
3.740000,0.000000,0.006715,0.000000
3.760000,0.000000,0.004586,0.000000
3.780000,0.000000,0.002415,0.000000
3.800000,0.000000,0.000204,0.000000
3.820000,0.000000,-0.002046,0.000000
3.840000,0.000000,-0.004337,0.000000
3.860000,0.000000,-0.006667,0.000000
3.880000,0.000000,-0.009035,0.000000
3.900000,0.000000,-0.011441,0.000000
3.920000,0.000000,-0.013885,0.000000
3.940000,0.000000,-0.016366,0.000000
3.960000,0.000000,-0.018882,0.000000
3.980000,0.000000,-0.021435,0.000000
4.000000,0.000000,-0.024021,0.000000
4.020000,0.000000,-0.026642,0.000000
4.040000,0.000000,-0.029295,0.000000
4.060000,0.000000,-0.031981,0.000000
4.080000,0.000000,-0.034697,0.000000
4.100000,0.000000,-0.037443,0.000000
4.120000,0.000000,-0.040219,0.000000
4.140000,0.000000,-0.043022,0.000000
4.160000,0.000000,-0.045851,0.000000
4.180000,0.000000,-0.048706,0.000000
4.200000,0.000000,-0.051584,0.000000
4.220000,0.000000,-0.054486,0.000000
4.240000,0.000000,-0.057408,0.000000
4.260000,0.000000,-0.060351,0.000000
4.280000,0.000000,-0.063311,0.000000
4.300000,0.000000,-0.066288,0.000000
4.320000,0.000000,-0.069280,0.000000
4.340000,0.000000,-0.072285,0.000000
4.360000,0.000000,-0.075301,0.000000
4.380000,0.000000,-0.078327,0.000000
4.400000,0.000000,-0.081361,0.000000
4.420000,0.000000,-0.084400,0.000000
4.440000,0.000000,-0.087443,0.000000
4.460000,0.000000,-0.090487,0.000000
4.480000,0.000000,-0.093530,0.000000
4.500000,0.000000,-0.096571,0.000000
4.520000,0.000000,-0.099606,0.000000
4.540000,0.000000,-0.102634,0.000000
4.560000,0.000000,-0.105651,0.000000
4.580000,0.000000,-0.108656,0.000000
4.600000,0.000000,-0.111645,0.000000
4.620000,0.000000,-0.114617,0.000000
4.640000,0.000000,-0.117569,0.000000
4.660000,0.000000,-0.120497,0.000000
4.680000,0.000000,-0.123398,0.000000
4.700000,0.000000,-0.126271,0.000000
4.720000,0.000000,-0.129112,0.000000
4.740000,0.000000,-0.131918,0.000000
4.760000,0.000000,-0.134686,0.000000
4.780000,0.000000,-0.137413,0.000000
4.800000,0.000000,-0.140095,0.000000
4.820000,0.000000,-0.142730,0.000000
4.840000,0.000000,-0.145314,0.000000
4.860000,0.000000,-0.147844,0.000000
4.880000,0.000000,-0.150317,0.000000
4.900000,0.000000,-0.152728,0.000000
4.920000,0.000000,-0.155076,0.000000
4.940000,0.000000,-0.157355,0.000000
4.960000,0.000000,-0.159563,0.000000
4.980000,0.000000,-0.161696,0.000000
5.000000,0.000000,-0.163751,0.000000
5.020000,0.000000,-0.165723,0.000000
5.040000,0.000000,-0.167610,0.000000
5.060000,0.000000,-0.169408,0.000000
5.080000,0.000000,-0.171113,0.000000
5.100000,0.000000,-0.172722,0.000000
5.120000,0.000000,-0.174230,0.000000
5.140000,0.000000,-0.175635,0.000000
5.160000,0.000000,-0.176933,0.000000
5.180000,0.000000,-0.178120,0.000000
5.200000,0.000000,-0.179192,0.000000
5.220000,0.000000,-0.180147,0.000000
5.240000,0.000000,-0.180981,0.000000
5.260000,0.000000,-0.181690,0.000000
5.280000,0.000000,-0.182272,0.000000
5.300000,0.000000,-0.182723,0.000000
5.320000,0.000000,-0.183039,0.000000
5.340000,0.000000,-0.183218,0.000000
5.360000,0.000000,-0.183257,0.000000
5.380000,0.000000,-0.183153,0.000000
5.400000,0.000000,-0.182903,0.000000
5.420000,0.000000,-0.182505,0.000000
5.440000,0.000000,-0.181956,0.000000
5.460000,0.000000,-0.181253,0.000000
5.480000,0.000000,-0.180396,0.000000
5.500000,0.000000,-0.179381,0.000000
